t=2026-07-23T15:47:01+0300 lvl=info msg="no configuration paths supplied"
t=2026-07-23T15:47:01+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-23T15:47:01+0300 lvl=info msg="open config file" path=C:\\Users\\lewis\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-23T15:47:01+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-23T15:47:01+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-23T15:47:04+0300 lvl=info msg=start pg=/api/tunnels id=f52c7deff4336756
t=2026-07-23T15:47:04+0300 lvl=info msg=end pg=/api/tunnels id=f52c7deff4336756 status=200 dur=1.041ms
t=2026-07-23T15:47:06+0300 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.ngrok-agent.com/check\": context deadline exceeded"
t=2026-07-23T15:47:12+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-23T15:47:12+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-23T15:47:13+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://9f70-105-164-100-191.ngrok-free.app
t=2026-07-23T15:47:39+0300 lvl=info msg="join connections" obj=join id=b5885f5e4d52 l=127.0.0.1:8000 r=105.164.100.191:1489
t=2026-07-23T15:47:41+0300 lvl=info msg="join connections" obj=join id=0ce4cfc31ad7 l=127.0.0.1:8000 r=105.164.100.191:1520
t=2026-07-23T15:49:12+0300 lvl=info msg="join connections" obj=join id=651f34ac1366 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:13+0300 lvl=info msg="join connections" obj=join id=3846de765ea7 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:13+0300 lvl=info msg="join connections" obj=join id=d805c443345d l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:14+0300 lvl=info msg="join connections" obj=join id=30d916583c72 l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:14+0300 lvl=info msg="join connections" obj=join id=789e0e3cc26d l=127.0.0.1:8000 r=102.203.137.236:59818
t=2026-07-23T15:49:14+0300 lvl=info msg="join connections" obj=join id=744ecfd260c8 l=127.0.0.1:8000 r=102.203.137.236:59818
